pali,thai
ภวนฺตํ โสณทณฺฑํ,ซึ่งท่านโสณ-ทัณฑะ.\par
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
,เป็นผู้มั่งคั่ง
,เป็นผู้มีทรัพย์มาก
มหาโภโค,เป็นผู้มีโภคสมบัติมาก
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
,เป็นผู้สาธยายพระเวท
มนฺตธโร,เป็นผู้ทรงจำพระเวท
,เป็นผู้ถึงฝั่ง
ติณฺณํเวทานํ,แห่งพระเวท
สนิฆณฺฑุเกฏุภานํ,มีคัมภีร์นิคัณฑุ
,และคัมภีร์เกฏุภะเป็นบริวาร
,และมี
,คัมภีร์ที่แสดงประเภทแห่งอักษรเป็นบริวาร
,อันมีคัมภีร์อิติหาสะเป็นลำดับที่
,เป็นผู้ชำนาญในบท
,เป็นผู้ชำนาญในไวยากรณ์
,เป็นผู้เชี่ยวชาญ
โลกายตมหาปุริสลกฺขเณสุ,ในคัมภีร์โลกายตะ
,และในคัมภีร์มหาปุริสลักษณะ
,ทำนายลักษณะของมหาบุรุษ
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
อภิรูโป,เป็นผู้มีรูปงามยิ่ง
,เป็นผู้มีรูปงามน่าดู
ปาสาทิโก,เป็นผู้มีรูปงามน่าเลื่อมใส
สมนฺนาคโต,เป็นผู้ถึงพร้อม
,ด้วยความงดงามแห่งผิวพรรณ
,เป็นผู้มีผิว
,พรรณดุจผิวพรรณแห่งมหาพรหม
พฺรหฺมวจฺฉสี,เป็นผู้มีรูปร่างดุจมหาพรหม
ทสฺสนาย อขุทฺทาวกาโส,เป็นผู้ถึงพร้อมด้วยอวัยวะร่างกายและทรวดทรงสัณฐานน่าดูทุกสัดส่วน
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
,เป็นผู้มีศีล
,เป็นผู้มีศีลอันเจริญแล้ว
สมนฺนาคโต,เป็นผู้ถึงพร้อม
วุทฺธสีเลน,ด้วยศีลอันเจริญแล้ว
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
กลฺยาณวาโจ,เป็นผู้มีวาจาไพเราะ
กลฺยาณวากฺกรโณ,เป็นผู้มีสำเนียงอ่อนหวาน
สมนฺนาคโต,เป็นผู้ถึงพร้อม
วาจาย,ด้วยวาจา
โปริยา,ที่สุภาพ
วิสฺสฏฺฐาย,ที่ชัดถ้อยชัดคำ
อเนลคลาย,ที่ปราศจากโทษ
อตฺถสฺส วิญฺญาปนิยา,ที่สามารถสื่อความทำให้เข้าใจได้ง่าย
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
(หุตฺวา),เป็นอาจารย์และอาจารย์ของอาจารย์
พหูนํ (ชนานํ),ของชน ท. จำนวนมาก
วาเจติ,ย่อมสอน
มนฺเต,ซึ่งพระเวท ท.
ตีณิ มาณวกสตานิ,แก่เด็กหนุ่ม ท. ๓๐๐ คน
มาณวกา,เด็กหนุ่ม ท.
พหู โข ปน,เป็นจำนวนมาก
นานาทิสา,จากทิศต่างๆ
นานาชนปทา3,จากแคว้นต่างๆ
มนฺตตฺถิกา,ผู้มีความต้องการพระเวท
อธิยิตุกามา,ผู้ใคร่จะเรียน
มนฺเต,ซึ่งพระเวท ท.
สนฺติเก,ในสำนัก
โภโต โสณทณฺฑสฺส,ของท่านโสณทัณฑะ
อาคจฺฉนฺติ,ย่อมมา
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
ชิณฺโณ,เป็นคนเก่าแก่
วุทฺโธ,เป็นผู้ประกอบด้วยคุณมีศีลและอาจาระเป็นต้น
มหลฺลโก,เป็นผู้ประกอบด้วยความเป็นใหญ่ด้วยสมบัติ
อทฺธคโต,เป็นผู้ปฏิบัติตามหนทางไม่ล่วงละเมิดวัตรและความประพฤติ เป็นต้น ของพวกพราหมณ์
วโยอนุปฺปตฺโต,เป็นผู้ถึงความเป็นผู้เจริญด้วยชาติอันเป็นวัยสุดท้าย
โคตโม,ส่วนสมณะโคดม
ตรุโณ จ เอว,เป็นคนหนุ่มด้วยนั่นเทียว
ตรุณปพฺพชิโต จ,เป็นผู้บวชแต่ยังหนุ่มด้วย
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
รญฺโญ,อันพระราชา
พิมฺพิสารสฺส,ผู้มีนามว่าพิมพิสาร
มาคธสฺส,ผู้ทรงครองแคว้นมคธ
เสนิยสฺส,ผู้มีกองทัพใหญ่
สกฺกโต,ทรงสักการะแล้ว
ครุกโต,ทรงเคารพแล้ว
มานิโต,ทรงนับถือแล้ว
ปูชิโต,ทรงบูชาแล้ว
อปจิโต,ทรงนอบน้อมแล้ว
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
พฺราหฺมณสฺส โปกฺขรสาติสฺส,อันโปกขร-สาติพราหมณ์
สกฺกโต,สักการะแล้ว
ครุกโต,เคารพแล้ว
มานิโต,นับถือแล้ว
ปูชิโต,บูชาแล้ว
อปจิโต,นอบน้อมแล้ว
ฯเปฯ,ฯลฯ
ภวํ หิ โสณทณฺโฑ,ท่านโสณทัณฑะ
อชฺฌาวสติ,ย่อมปกครอง
จมฺปํ,ซึ่งเมืองจัมปา
สตฺตุสฺสทํ,ซึ่งหนาแน่นไปด้วยประชากรและสัตว์เลี้ยงมากมาย
สติณกฏฺโฐทกํ=สติณกฏฺโฐทกาย,ที่บริบูรณ์
,ไปด้วยหญ้า ป่าไม้ และแหล่งน้ำ
